iucn_sid,stressor,range_km2,impact_km2,incr2_km2,incr3_km2,decr2_km2,decr3_km2
907,art_fish,771.9536777705409,0,NA,NA,NA,NA
907,cum_all,771.9536777705409,0,NA,NA,NA,NA
907,cum_climate,771.9536777705409,0,NA,NA,NA,NA
907,cum_fishing,771.9536777705409,0,NA,NA,NA,NA
907,cum_land-based,771.9536777705409,0,NA,NA,NA,NA
907,cum_ocean,771.9536777705409,0,NA,NA,NA,NA
907,dem_dest,771.9536777705409,NA,NA,NA,NA,NA
907,dem_nondest_hb,771.9536777705409,NA,NA,NA,NA,NA
907,dem_nondest_lb,771.9536777705409,NA,NA,NA,NA,NA
907,direct_human,771.9536777705409,NA,NA,NA,NA,NA
907,light,771.9536777705409,NA,NA,NA,NA,NA
907,nutrient,771.9536777705409,NA,NA,NA,NA,NA
907,oa,771.9536777705409,NA,NA,NA,NA,NA
907,organic,771.9536777705409,NA,NA,NA,NA,NA
907,pel_hb,771.9536777705409,NA,NA,NA,NA,NA
907,pel_lb,771.9536777705409,NA,NA,NA,NA,NA
907,shipping,771.9536777705409,NA,NA,NA,NA,NA
907,slr,771.9536777705409,NA,NA,NA,NA,NA
907,sst,771.9536777705409,NA,NA,NA,NA,NA
1793,art_fish,17512.170933108566,13345.018249328326,8808.4805144911,3295.6484086415608,222.67894401381633,206.96042980006243
1793,cum_all,17512.170933108566,16795.232046918412,9645.927997582152,2951.587607840046,49.77529396054963,16.591764653516545
1793,cum_climate,17512.170933108566,0,NA,NA,NA,NA
1793,cum_fishing,17512.170933108566,13718.769577579418,8428.616430996726,3069.4764620814403,1045.2811641181297,265.4682301263718
1793,cum_land-based,17512.170933108566,14616.471382541702,3853.6556348887066,0,46.282292201499,0
1793,cum_ocean,17512.170933108566,0,NA,NA,NA,NA
1793,dem_dest,17512.170933108566,NA,NA,NA,NA,NA
1793,dem_nondest_hb,17512.170933108566,1600.6686597113855,97.80408723838725,0,0,0
1793,dem_nondest_lb,17512.170933108566,NA,NA,NA,NA,NA
1793,direct_human,17512.170933108566,14616.471382541702,3853.6556348887066,0,46.282292201499,0
1793,light,17512.170933108566,NA,NA,NA,NA,NA
