iucn_sid,sciname,comname,cat,cat_score
907,Alosa immaculata,NA,VU,0.4
1793,Aonyx capensis,African Clawless Otter,NT,0.2
2057,Arctocephalus galapagoensis,Galápagos Fur Seal,EN,0.6
2468,Balaena mysticetus Bering-Chukchi-Beaufort Sea subpopulation,Bowhead Whale Bering-Chukchi-Beaufort Seas subpopulation,VU,0.4
2469,Balaena mysticetus Okhotsk Sea subpopulation,Okhotsk Sea Bowhead Whale,EN,0.6
2472,Balaena mysticetus East Greenland-Svalbard-Barents Sea subpopulation,Bowhead Whale,EN,0.6
2475,Balaenoptera borealis,Sei Whale,EN,0.6
2477,Balaenoptera musculus,Blue Whale,EN,0.6
2478,Balaenoptera physalus,Fin Whale,VU,0.4
2480,Balaenoptera bonaerensis,Antarctic Minke Whale,NT,0.2
3590,Callorhinus ursinus,Northern Fur Seal,VU,0.4
3764,Canthigaster rapaensis,NA,EN,0.6
3851,Carcharhinus limbatus,Blacktip Shark,NT,0.2
3852,Carcharhinus obscurus,Dusky Shark,EN,0.6
3853,Carcharhinus plumbeus,Sandbar Shark,VU,0.4
3854,Carcharias taurus,Sand Tiger Shark,VU,0.4
3855,Carcharodon carcharias,White Shark,VU,0.4
3897,Caretta caretta,Loggerhead Turtle,VU,0.4
4160,Cephalorhynchus eutropia,Chilean Dolphin,NT,0.2
4161,Cephalorhynchus heavisidii,Heaviside's Dolphin,NT,0.2
4162,Cephalorhynchus hectori,Hector's Dolphin,EN,0.6
4292,Cetorhinus maximus,Basking Shark,EN,0.6
4615,Chelonia mydas,Green Turtle,EN,0.6
4982,Clinus spatulatus,Bot River Klipfish,EN,0.6
5270,Conus cepasi,NA,VU,0.4
5272,Conus nobrei,NA,NT,0.2
5273,Conus zebroides,NA,NT,0.2
5659,Crocodylus acutus,American Crocodile,VU,0.4
6204,Cystophora cristata,Hooded Seal,VU,0.4
6229,Dalatias licha,Kitefin Shark,VU,0.4
6494,Dermochelys coriacea,Leatherback,VU,0.4
6909,Dugong dugon,Dugong,VU,0.4
