iucn_sid,sciname,assess_gp,rank,desc
133411,Acanthastrea bowerbanki,reef_building_corals,Cnidaria,reef-building corals
133557,Acanthastrea brevis,reef_building_corals,Cnidaria,reef-building corals
133624,Acanthastrea faviaformis,reef_building_corals,Cnidaria,reef-building corals
133642,Acanthastrea hemprichii,reef_building_corals,Cnidaria,reef-building corals
133106,Acanthastrea hillae,reef_building_corals,Cnidaria,reef-building corals
133376,Acanthastrea ishigakiensis,reef_building_corals,Cnidaria,reef-building corals
133366,Acanthastrea lordhowensis,reef_building_corals,Cnidaria,reef-building corals
133490,Acanthastrea maxima,reef_building_corals,Cnidaria,reef-building corals
133326,Acanthastrea regularis,reef_building_corals,Cnidaria,reef-building corals
133386,Acanthastrea rotundoflora,reef_building_corals,Cnidaria,reef-building corals
132929,Acanthastrea subechinata,reef_building_corals,Cnidaria,reef-building corals
133133,Acropora abrolhosensis,reef_building_corals,Cnidaria,reef-building corals
133463,Acropora aculeus,reef_building_corals,Cnidaria,reef-building corals
132940,Acropora acuminata,reef_building_corals,Cnidaria,reef-building corals
133513,Acropora anthocercis,reef_building_corals,Cnidaria,reef-building corals
133195,Acropora appressa,reef_building_corals,Cnidaria,reef-building corals
133604,Acropora arabensis,reef_building_corals,Cnidaria,reef-building corals
133132,Acropora aspera,reef_building_corals,Cnidaria,reef-building corals
133160,Acropora austera,reef_building_corals,Cnidaria,reef-building corals
133583,Acropora awi,reef_building_corals,Cnidaria,reef-building corals
133283,Acropora batunai,reef_building_corals,Cnidaria,reef-building corals
132933,Acropora carduus,reef_building_corals,Cnidaria,reef-building corals
133112,Acropora caroliniana,reef_building_corals,Cnidaria,reef-building corals
133381,Acropora cervicornis,reef_building_corals,Cnidaria,reef-building corals
133322,Acropora dendrum,reef_building_corals,Cnidaria,reef-building corals
132984,Acropora derawanensis,reef_building_corals,Cnidaria,reef-building corals
133396,Acropora desalwii,reef_building_corals,Cnidaria,reef-building corals
133250,Acropora digitifera,reef_building_corals,Cnidaria,reef-building corals
132910,Acropora divaricata,reef_building_corals,Cnidaria,reef-building corals
133223,Acropora donei,reef_building_corals,Cnidaria,reef-building corals
133661,Acropora echinata,reef_building_corals,Cnidaria,reef-building corals
133688,Acropora elegans,reef_building_corals,Cnidaria,reef-building corals
132869,Acropora florida,reef_building_corals,Cnidaria,reef-building corals
133644,Acropora formosa,reef_building_corals,Cnidaria,reef-building corals
133550,Acropora glauca,reef_building_corals,Cnidaria,reef-building corals
133387,Acropora globiceps,reef_building_corals,Cnidaria,reef-building corals
132948,Acropora granulosa,reef_building_corals,Cnidaria,reef-building corals
132981,Acropora hemprichii,reef_building_corals,Cnidaria,reef-building corals
133401,Acropora hoeksemai,reef_building_corals,Cnidaria,reef-building corals
133319,Acropora horrida,reef_building_corals,Cnidaria,reef-building corals
132992,Acropora humilis,reef_building_corals,Cnidaria,reef-building corals
133479,Acropora hyacinthus,reef_building_corals,Cnidaria,reef-building corals
133600,Acropora indonesia,reef_building_corals,Cnidaria,reef-building corals
133617,Acropora jacquelineae,reef_building_corals,Cnidaria,reef-building corals
133233,Acropora kimbeensis,reef_building_corals,Cnidaria,reef-building corals
133081,Acropora kirstyae,reef_building_corals,Cnidaria,reef-building corals
133500,Acropora kosurini,reef_building_corals,Cnidaria,reef-building corals
132969,Acropora listeri,reef_building_corals,Cnidaria,reef-building corals
133394,Acropora loisetteae,reef_building_corals,Cnidaria,reef-building corals
133294,Acropora lokani,reef_building_corals,Cnidaria,reef-building corals
132976,Acropora loripes,reef_building_corals,Cnidaria,reef-building corals
133327,Acropora lovelli,reef_building_corals,Cnidaria,reef-building corals
133303,Acropora lutkeni,reef_building_corals,Cnidaria,reef-building corals
133359,Acropora microclados,reef_building_corals,Cnidaria,reef-building corals
133666,Acropora millepora,reef_building_corals,Cnidaria,reef-building corals
133315,Acropora monticulosa,reef_building_corals,Cnidaria,reef-building corals
132990,Acropora multiacuta,reef_building_corals,Cnidaria,reef-building corals
133698,Acropora nana,reef_building_corals,Cnidaria,reef-building corals
133239,Acropora nasuta,reef_building_corals,Cnidaria,reef-building corals
133006,Acropora palmata,reef_building_corals,Cnidaria,reef-building corals
133531,Acropora palmerae,reef_building_corals,Cnidaria,reef-building corals
132972,Acropora paniculata,reef_building_corals,Cnidaria,reef-building corals
133494,Acropora papillare,reef_building_corals,Cnidaria,reef-building corals
133247,Acropora pharaonis,reef_building_corals,Cnidaria,reef-building corals
133639,Acropora pichoni,reef_building_corals,Cnidaria,reef-building corals
132935,Acropora plumosa,reef_building_corals,Cnidaria,reef-building corals
133647,Acropora polystoma,reef_building_corals,Cnidaria,reef-building corals
133115,Acropora retusa,reef_building_corals,Cnidaria,reef-building corals
133206,Acropora roseni,reef_building_corals,Cnidaria,reef-building corals
132913,Acropora rudis,reef_building_corals,Cnidaria,reef-building corals
133164,Acropora russelli,reef_building_corals,Cnidaria,reef-building corals
132888,Acropora secale,reef_building_corals,Cnidaria,reef-building corals
133080,Acropora selago,reef_building_corals,Cnidaria,reef-building corals
133427,Acropora simplex,reef_building_corals,Cnidaria,reef-building corals
133320,Acropora solitaryensis,reef_building_corals,Cnidaria,reef-building corals
133338,Acropora speciosa,reef_building_corals,Cnidaria,reef-building corals
133432,Acropora spicifera,reef_building_corals,Cnidaria,reef-building corals
133291,Acropora striata,reef_building_corals,Cnidaria,reef-building corals
133254,Acropora suharsonoi,reef_building_corals,Cnidaria,reef-building corals
133203,Acropora tenella,reef_building_corals,Cnidaria,reef-building corals
133020,Acropora tenuis,reef_building_corals,Cnidaria,reef-building corals
132909,Acropora turaki,reef_building_corals,Cnidaria,reef-building corals
133025,Acropora vaughani,reef_building_corals,Cnidaria,reef-building corals
133532,Acropora verweyi,reef_building_corals,Cnidaria,reef-building corals
133441,Acropora walindii,reef_building_corals,Cnidaria,reef-building corals
132931,Acropora willisae,reef_building_corals,Cnidaria,reef-building corals
132970,Agaricia lamarcki,reef_building_corals,Cnidaria,reef-building corals
133439,Agaricia tenuifolia,reef_building_corals,Cnidaria,reef-building corals
133332,Alveopora allingi,reef_building_corals,Cnidaria,reef-building corals
132905,Alveopora catalai,reef_building_corals,Cnidaria,reef-building corals
133093,Alveopora daedalea,reef_building_corals,Cnidaria,reef-building corals
133464,Alveopora excelsa,reef_building_corals,Cnidaria,reef-building corals
133523,Alveopora fenestrata,reef_building_corals,Cnidaria,reef-building corals
133501,Alveopora gigas,reef_building_corals,Cnidaria,reef-building corals
132865,Alveopora japonica,reef_building_corals,Cnidaria,reef-building corals
132896,Alveopora marionensis,reef_building_corals,Cnidaria,reef-building corals
133467,Alveopora minuta,reef_building_corals,Cnidaria,reef-building corals
133482,Alveopora spongiosa,reef_building_corals,Cnidaria,reef-building corals
133156,Alveopora verrilliana,reef_building_corals,Cnidaria,reef-building corals
133567,Alveopora viridis,reef_building_corals,Cnidaria,reef-building corals
132973,Anacropora matthai,reef_building_corals,Cnidaria,reef-building corals
133415,Anacropora puertogalerae,reef_building_corals,Cnidaria,reef-building corals
133689,Anacropora reticulata,reef_building_corals,Cnidaria,reef-building corals
133046,Anacropora spinosa,reef_building_corals,Cnidaria,reef-building corals
133484,Anomastraea irregularis,reef_building_corals,Cnidaria,reef-building corals
133069,Astreopora cucullata,reef_building_corals,Cnidaria,reef-building corals
133227,Astreopora expansa,reef_building_corals,Cnidaria,reef-building corals
133092,Astreopora incrustans,reef_building_corals,Cnidaria,reef-building corals
133306,Astreopora macrostoma,reef_building_corals,Cnidaria,reef-building corals
133174,Astreopora moretonensis,reef_building_corals,Cnidaria,reef-building corals
133620,Australogyra zelli,reef_building_corals,Cnidaria,reef-building corals
